Company_Name,Founded,HeadQuarter,Sector,What_it_does,Investor,Amount($),Stage,Funding_Year
Unbox Robotics,2019.0,Bangalore,AI startup,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","BEENEXT, Entrepreneur First",1200000.0,Pre-series A,2021
upGrad,2015.0,Mumbai,EdTech,UpGrad is an online higher education platform.,"Unilazer Ventures, IIFL Asset Management",120000000.0,Undisclosed,2021
Lead School,2012.0,Mumbai,EdTech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"GSV Ventures, Westbridge Capital",30000000.0,Series D,2021
Bizongo,2015.0,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"CDC Group, IDG Capital",51000000.0,Series C,2021
FypMoney,2021.0,Gurugram,FinTech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.","Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,Seed,2021
Urban Company,2014.0,New Delhi,Home services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",Vy Capital,188000000.0,Undisclosed,2021
Comofi Medtech,2018.0,Bangalore,HealthTech,Comofi Medtech is a healthcare robotics startup.,"CIIE.CO, KIIT-TBI",200000.0,Undisclosed,2021
Taikee,2010.0,Mumbai,E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",unidisclosed,1000000.0,Undisclosed,2021
Fitterfly,2016.0,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.","9Unicorns Accelerator Fund, Metaform Ventures",3000000.0,Pre-series A,2021
FreeStand,2017.0,New Delhi,B2B service,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"SucSEED Indovation, IIM Calcutta Innovation Park",100000.0,Undisclosed,2021
MyDentalPlan,2014.0,Bangalore,Helathcare,My Dental Plan provides dental care packages and services.,Safe Planet Medicare,700000.0,Seed,2021
Freyr Energy,2014.0,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Impact Partners, C4D Partners",2000000.0,Undisclosed,2021
DealShare,2018.0,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Tiger Global Management, InnoVen Capital",9000000.0,Undisclosed,2021
Tessolve,1993.0,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",Novo Tellus Capital,40000000.0,Undisclosed,2021
Smart Joules,2014.0,New Delhi,Renewable Energy,Smart Joules is an energy management company.,"Raintree Family Office, ADB arm",49000000.0,Undisclosed,2021
ORAI,2020.0,Bangalore,IT startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,Inflection Point Ventures,400000.0,Pre-series A,2021
ixamBee,2016.0,New Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,"Mumbai Angels, Narendra Shyamsukha",300000.0,Seed,2021
CoinSwitch Kuber,2017.0,Bangalore,FinTech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Paradigm, Kunal Shah",25000000.0,Series B,2021
Razorpay,2014.0,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Matrix Partners India, GIC",160000000.0,Series E,2021
ZFW Hospitality,2015.0,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,"Mumbai Angels Network, Expert DOJO",150000.0,Pre-seed,2021
Optimized Electrotech,2017.0,Ahmadabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",GVFL,1800000.0,Pre-series A,2021
Northern Arc,2008.0,Chennai,FinTech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,"Kotak Mahindra Bank, FMO",5000000.0,Undisclosed,2021
Chara,2019.0,Bangalore,Deep Tech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",Kalaari Capital,850000.0,Seed,2021
Sirona Hygiene,2015.0,New Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"NB Ventures, IAN Fund",3000000.0,Series A,2021
Pristyn Care,2018.0,Gurugram,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,"Sequoia Capital India, Hummingbird Ventures",53000000.0,Series D,2021
TrulyMadly,2013.0,New Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,"Gaurav Munjal, Snehil Khanor",2000000.0,Pre-series A,2021
Vidyakul,2018.0,Unavailable,EdTech,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"JITO Angel Network, SOSV",500000.0,Seed,2021
Jambox Games,2021.0,Bangalore,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",unidisclosed,1100000.0,Seed,2021
Miko,2015.0,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chiratae Ventures, YourNest Venture Capital",6000000.0,Undisclosed,2021
SuperK,2019.0,"Small Towns, Andhra Pradesh",Retail,SuperK is a full-stack solution to empower small format retail stores in India.,STRIVE VC,800000.0,Seed,2021
TagZ Foods,2019.0,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,Venture Catalysts,500000.0,Pre-series A,2021
Fuel Buddy,2017.0,New Delhi,Oil and Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Jaipuria Family Office,1000000.0,Undisclosed,2021
M1xchange,2017.0,Gurugram,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Amazon,10000000.0,Undisclosed,2021
Spintly,2017.0,Goa,Tech Startup,Wireless cloud based access control platform,Riso Capital,500000.0,Undisclosed,2021
EF Polymer,2018.0,Rajsamand,AgriTech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,MTG Ventures,200000.0,Undisclosed,2021
boAt,2016.0,New Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Qualcomm Ventures, Warburg Pincus",6000000.0,Undisclosed,2021
iBus,2010.0,Bangalore,Telecommuncation,iBus Networks is an in-building connectivity solutions company,Morgan Stanley,21000000.0,Undisclosed,2021
Puresh Daily,2019.0,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Alfa Ventures, Agility Venture Partners",100000.0,Seed,2021
LearnVern,2016.0,Ahmadabad,EdTech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,unidisclosed,1000000.0,Undisclosed,2021
LimeChat,2020.0,"Faridabad, Haryana",AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Stellaris Venture Partners, Ramakant Sharma",7500000.0,Seed,2021
Dybo,2019.0,Bangalore,IT,Product Visualisation Technology for Commerce,Spanache,100000.0,Seed,2021
moEVing,2021.0,Gurugram,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",unidisclosed,1000000.0,Seed,2021
WeWork India,2017.0,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",unidisclosed,26000000.0,Undisclosed,2021
Solethreads,2018.0,Gurugram,Fashion,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,"DSG Consumer Partners, Saama Capital",1000000.0,Series A,2021
Beldara,2018.0,Mumbai,E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Hindustan Media Ventures,7400000.0,Undisclosed,2021
CredFlow,2020.0,New Delhi,FinTech,CredFlow provides financial solutions to automate your cashflows.,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed,2021
